# agreed to re-licensing
# GitHub username, evidence

souravsingh, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147862161
roalva1, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147862274
vimalkvn, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147907660
rdvelazquez, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147937206
trevor, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147944477
RJMW, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147953775
msauria, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147958781
pavanvidem, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147983489
frederikcoppens, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2147989316
rikeshi, https://github.com/galaxyproject/galaxy/pull/16970
rupertnash, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148017249
varunshankar, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148132174
yochannah, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148154276
pkrog, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148227360
NickSto, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148309698
rpark37, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148430871
yhoogstrate, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148445252
kpbioteam & kkamieniecka, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148448901
nvk747, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148466787
unode, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148625133
ValentinChCloud, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148688261
BenjaminHCCarr, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148706049
kiwiroy, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148846395
torfinnnome, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148929362
rwwh, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2148994965
linnil1, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2149097400
jgoecks, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2149586713
shano, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2149828812
stevecassidy, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2149922864
takawitter, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2149953931
chrisbarnettster, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2149963693
BradHolmes, https://github.com/galaxyproject/galaxy/pull/16970#issuecomment-1792780245
abdulrahmanazab, https://github.com/galaxyproject/galaxy/pull/16970#issuecomment-2198545978
tomithy, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2150199047
moskalenko, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2150205033
sneumann, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2150606285
Petraea, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2150708344
fretn, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2151141471
mepcotterell, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2151857571
thobalose, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2154578396
rdallet, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2154616875
manabuishii, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2155753284
