#	cleg	hm	hall
553	178	P 61 2 2	P 61 2 (0 0 5)
554	179	P 65 2 2	P 65 2 (0 0 1)
555	180	P 62 2 2	P 62 2 (0 0 4)
556	181	P 64 2 2	P 64 2 (0 0 2)
557	182	P 63 2 2	P 6c 2c
558	183	P 6 m m	P 6 -2
559	184	P 6 c c	P 6 -2c
560	185	P 63 c m	P 6c -2
561	186	P 63 m c	P 6c -2c
562	187	P -6 m 2	P -6 2
563	188	P -6 c 2	P -6c 2
564	189	P -6 2 m	P -6 -2
565	190	P -6 2 c	P -6c -2c
566	191	P 6/m m m	-P 6 2
567	192	P 6/m c c	-P 6 2c
568	193	P 63/m c m	-P 6c 2
569	194	P 63/m m c	-P 6c 2c
570	195	P 2 3	P 2 2 3
571	196	F 2 3	F 2 2 3
572	197	I 2 3	I 2 2 3
573	198	P 21 3	P 2ac 2ab 3
574	199	I 21 3	I 2b 2c 3
575	200	P m -3	-P 2 2 3
576	201	P n -3  [origin 2]	-P 2ab 2bc 3
577	201:a,b,c;-1/4,-1/4,-1/4	P n -3 :1	
578	202	F m -3	-F 2 2 3
579	203	F d -3  [origin 2]	-F 2uv 2vw 3
580	203:a,b,c;-1/8,-1/8,-1/8	F d -3 :1	
581	204	I m -3	-I 2 2 3
582	205	P a -3	-P 2ac 2ab 3
583	206	I a -3	-I 2b 2c 3
584	207	P 4 3 2	P 4 2 3
585	208	P 42 3 2	P 4n 2 3
586	209	F 4 3 2	F 4 2 3
587	210	F 41 3 2	F 4d 2 3
588	211	I 4 3 2	I 4 2 3
589	212	P 43 3 2	P 4acd 2ab 3
590	213	P 41 3 2	P 4bd 2ab 3
591	214	I 41 3 2	I 4bd 2c 3
592	215	P -4 3 m	P -4 2 3
593	216	F -4 3 m	F -4 2 3
594	217	I -4 3 m	I -4 2 3
595	218	P -4 3 n	P -4n 2 3
596	219	F -4 3 c	F -4a 2 3
597	220	I -4 3 d	I -4bd 2c 3
598	221	P m -3 m	-P 4 2 3
599	222	P n -3 n  [origin 2]	-P 4a 2bc 3
600	222:a,b,c;-1/4,-1/4,-1/4	P n -3 n :1	
601	223	P m -3 n	-P 4n 2 3
602	224	P n -3 m  [origin 2]	-P 4bc 2bc 3
603	224:a,b,c;-1/4,-1/4,-1/4	P n -3 m :1	
604	225	F m -3 m	-F 4 2 3
605	226	F m -3 c	-F 4a 2 3
606	227	F d -3 m  [origin 2]	-F 4vw 2vw 3
607	227:a,b,c;-1/8,-1/8,-1/8	F d -3 m :1	
608	228	F d -3 c  [origin 2]	-F 4ud 2vw 3
609	228:a,b,c;-3/8,-3/8,-3/8	F d -3 c :1	
610	229	I m -3 m	-I 4 2 3
611	230	I a -3 d	-I 4bd 2c 3
